scenario_id,delay_ms,bw_mbps,num_pods,num_clients,cpu_m,mem_Mi,net_rx_KBps,net_tx_KBps,avg_latency_s,n_720_z1,n_1080_z1,n_4k_z1,n_720_z2,n_1080_z2,n_4k_z2,n_720_z3,n_1080_z3,n_4k_z3,n_sw_z1,n_sw_z2,n_sw_z3,total_stall,start_time,res_term_z1,res_term_z2,res_term_z3,sw_term_z1,sw_term_z2,sw_term_z3,stall_term,QoE
cpu_scaling,0,1000,1,10,189,47,108,2982,0.38581036093287135,0.0,0.0,11.1,8.8,0.8,88.0,46.8,7.8,421.2,1.2,1.4,1.5,51.9229151,0.00016020000000000002,5.0,4.675205738705738,4.643716849816849,0.10030525030525031,0.11141636141636142,0.11808302808302809,0.8653819183333333,1.0732764735842495
cpu_scaling,0,1000,2,10,170,33,88,2121,0.18089437757194132,0.0,0.0,19.4,8.0,0.0,155.2,39.0,0.0,756.6,1.0,1.0,1.0,42.5344507,7.4e-05,5.0,4.831081718122032,4.831081718122032,0.05072621077416474,0.05072621077416474,0.05072621077416474,0.7089075116666665,1.8499778044957782
cpu_scaling,0,1000,3,10,165,29,77,2119,0.12527303819473334,0.0,0.0,26.6,8.0,0.0,212.8,39.0,0.0,1037.4,1.0,1.0,1.0,35.384557400000006,6.35e-05,5.0,4.875939720853857,4.875939720853857,0.03725533908292529,0.03725533908292529,0.03725533908292529,0.5897426233333334,2.3893602468398987
cpu_scaling,0,1000,4,10,165,28,66,1681,0.0907124975771355,0.0,0.0,34.1,8.0,0.0,272.8,39.0,0.0,1329.9,1.0,1.0,1.0,27.071779,6.319999999999999e-05,5.0,4.903247714232481,4.9032477142324815,0.029054740470726443,0.029054740470726443,0.029054740470726443,0.45119631666666676,3.001503652132351
cpu_scaling,0,1000,5,10,155,27,71,1759,0.07312538274209142,0.0,0.0,40.1,8.0,0.0,320.8,39.0,0.0,1563.9,1.0,1.0,1.0,20.727000299999997,6.46e-05,5.0,4.9176310612986684,4.917631061298669,0.024735417027426772,0.024735417027426772,0.024735417027426772,0.345450005,3.4648410998621735
cpu_scaling,0,1000,6,10,151,27,73,1882,0.06272074671617546,0.0,0.0,47.6,8.0,0.0,380.8,39.0,0.0,1856.4,1.0,1.0,1.0,13.052533200000003,6.07e-05,5.0,4.930127071691229,4.930127071691229,0.02098286135398526,0.02098286135398526,0.02098286135398526,0.21754221999999998,4.022362704153383
cpu_scaling,0,1000,7,10,147,27,69,1606,0.0533318608931453,0.0,0.0,54.1,8.0,0.0,432.8,39.0,0.0,2109.9,1.0,1.0,1.0,8.495475600000002,6.0799999999999994e-05,5.0,4.938610703123146,4.938610703123146,0.018435224287343396,0.018435224287343396,0.018435224287343396,0.14159126000000002,4.3540441286496
cpu_scaling,0,1000,8,10,146,27,63,1532,0.04243791546992193,0.0,0.0,64.0,8.0,0.0,512.0,39.0,0.0,2496.0,1.0,1.0,1.0,2.5168278,0.00021559999999999998,5.0,4.9484930596312,4.9484930596312,0.015467549660300256,0.015467549660300256,0.015467549660300256,0.04194713000000001,4.787780629229059
cpu_scaling,0,1000,9,10,128,28,67,1685,0.034501823495175554,0.0,0.0,69.8,8.0,0.0,558.4,39.0,0.0,2722.2,1.0,1.0,1.0,0.9048075000000001,5.73e-05,5.0,4.952855563642258,4.952855563642258,0.014157488395718287,0.014157488395718287,0.014157488395718287,0.015080125,4.906608253196959
cpu_scaling,0,1000,10,10,136,28,63,1341,0.02937634639472341,0.0,0.0,76.1,8.0,0.0,608.8,39.0,0.0,2967.9,1.0,1.0,1.0,0.4522259,6.11e-05,5.0,4.9566890944354,4.9566890944354,0.013006277947327186,0.013006277947327186,0.013006277947327186,0.007537098333333334,4.941328197549959
latency_test,10,1000,10,10,132,30,66,1521,0.034007469411243524,0.0,0.8,72.2,45.6,15.2,558.4,312.0,54.6,2652.0,2.7,2.9,1.9,0.4318531,6.289999999999998e-05,4.982797335878875,4.7148228324678225,4.6273753518449245,0.03445948322968691,0.03707567768208204,0.024703291223331224,0.007197551666666667,4.828433191707072
