learnum_pods,num_clients,avg_speed,cpu_m,mem_Mi,net_rx_KBps,net_tx_KBps,avg_latency_s,z1_bit,z2_bit,z3_bit,qt_sw_z1,qt_sw_z2,qt_sw_z3,total_stall,start_time,QoE
1,1,10,78,26,42,2180,0.012955949421296298,847033537.061803,121513610290.64146,713282937324.5394,1.0,1.0,1.0,0.0,5.8e-05,96223939265.52527
1,1,20,70,26,32,1661,0.01282406974637681,441867718.425592,55771364817.05232,361733635595.13727,1.0,1.0,1.0,0.0,5.7e-05,47636943924.82186
1,1,30,79,26,42,2227,0.013190649931693988,408049085.933004,36519748658.008194,228897883964.0648,1.0,1.0,1.0,0.0,5.9e-05,30479372487.160973
1,1,40,40,26,33,1737,0.013022908854166666,213588961.445376,28630288605.919243,179362011339.02563,1.0,1.0,1.0,0.0,5.8e-05,23811771127.097927
1,1,50,38,26,21,831,0.0123948375,73580376.902176,17395359222.985725,91016634111.86154,1.0,1.0,1.0,0.0,6.3e-05,12632241518.614552
1,1,60,0,26,0,0,0.011985026348039217,81370753.972093,13226359737.815142,85578995035.58163,1.0,1.0,1.0,0.0,5.8e-05,11260130977.90141
1,1,70,40,26,0,0,0.01270779813218391,109684584.555894,16842996819.029753,99562775782.38016,1.0,1.0,1.0,0.0,5.6e-05,13401656150.232851
1,1,80,0,0,0,0,0.012888233173076925,269456059.577176,16155992135.045147,81159861619.87466,1.0,1.0,1.0,0.0,5.6e-05,11535803829.70028
1,1,90,0,0,0,0,0.012187606770833333,49360719.608283,9882951743.881357,61390505527.902084,1.0,1.0,1.0,0.0,5.9e-05,8150193404.292025
1,1,100,0,0,0,0,0.012963486458333333,67777002.679643,11475826988.662823,64137493896.37181,1.0,1.0,1.0,0.0,5.8e-05,8756358688.245247
1,1,110,0,0,0,0,0.013302501096491228,53005394.171339,10521445557.260784,60546983782.69158,1.0,1.0,1.0,0.0,5.6e-05,8196091264.641012
1,1,120,0,0,0,0,0.012453547453703705,44087022.75879,7520524229.079287,46286939450.32011,1.0,1.0,1.0,0.0,5.8e-05,6163659705.778772
1,2,10,100,26,59,2517,0.024714089026097667,195986852.9055865,63327693862.38374,390788901218.5335,1.0,1.0,1.0,23.236617,5.7e-05,51881619590.44631
1,2,20,74,26,56,1559,0.02335495854458042,79360422.63027,24971152739.360992,154636893430.17004,1.0,1.0,1.0,8.574761500000001,5.6e-05,20513472148.85868
1,2,30,34,26,62,2219,0.0241602775974026,27945845.814765,19829237162.717545,117915956743.52196,1.0,1.0,1.0,6.8991109999999995,5.8e-05,15777005168.299616
1,2,40,50,26,19,995,0.024386991536458333,38881612.981607504,14180028942.44231,87347675539.40372,1.0,1.0,1.0,5.5104905,5.6500000000000005e-05,11597990446.820606
1,2,50,34,26,0,0,0.02403651887464387,62564893.619093,13344973848.302494,73321132811.32437,1.0,1.0,1.0,4.035467000000001,5.7e-05,10044903457.973549
1,2,60,49,26,32,1558,0.023577127264492754,29285194.7244795,11794552887.107702,62726379077.166824,1.0,1.0,1.0,2.859956,5.9e-05,8652048108.147293
1,2,70,0,26,0,0,0.025029424890350878,12504642.87473,7340502256.539196,43599981981.14874,1.0,1.0,1.0,3.6727429999999996,6e-05,5836851882.641972
1,2,80,0,26,0,0,0.025977634765625,18455103.036781497,7219765789.290779,40628138861.75593,1.0,1.0,1.0,3.689572,5.8e-05,5519685599.294086
1,2,90,0,26,0,0,0.02483824513888889,45502742.859526,8821362821.770006,48787541173.43455,1.0,1.0,1.0,2.860075,6.25e-05,6674878588.400534
1,2,100,0,26,0,0,0.022344490327380954,10690483.6464375,6605473768.869936,42397582190.62863,1.0,1.0,1.0,1.3317405,5.6500000000000005e-05,5568336304.66263
1,2,110,0,26,0,0,0.025546347222222224,23216054.9076785,5829180403.223747,31902828978.56685,1.0,1.0,1.0,2.772573,5.8e-05,4372370204.014496
1,2,120,0,26,0,0,0.024889723405934344,29645308.0819505,7741559977.815382,41112281101.86286,1.0,1.0,1.0,2.270588,5.7e-05,5680291810.642956
1,3,10,92,26,56,2128,0.03602780862634699,75968467.54604967,33562000736.729736,205932811482.92065,1.0,1.0,1.0,61.31305666666666,5.566666666666667e-05,27358858958.27386
1,3,20,100,26,50,1796,0.035790659980025896,44556753.180545,14628303370.660307,97618637478.97713,1.0,1.0,1.0,30.757392333333332,5.6000000000000006e-05,12718714015.99913
1,3,30,80,26,44,2656,0.038440926109641387,28154433.885546666,12342275599.617416,68377290308.91427,1.0,1.0,1.0,22.667830666666664,5.8666666666666665e-05,9325892156.062868
1,3,40,80,26,0,0,0.037202012810559,15011947.598344998,7832617663.634301,48587633112.69018,1.0,1.0,1.0,16.683809,6.1e-05,6435795134.574079
